EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,TCE_municipal,Atipicidad
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,3,34916.0,3566.0245471072835,0.9892716837413312,0.03749814292081415,0.0150845428418134,0.017733047222859545,0.7559389344840048,-0.9953308725890464,0.7455331268956891,-1.3896329042993083,0.4346494656979361,0.1056386738486334,-0.2595024494493082,-0.19624028704968088,G3,Tipica
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,2,97428.0,2955.130305163687,0.9873434077973392,0.008070440459808172,0.01611011517544305,0.015825238661997455,0.3794590059922927,-2.1072582924882743,0.34638179899456906,-1.1837321271235828,1.8291914604719768,-0.4124713707174655,-0.9986491382541244,-0.4689276789094813,G0,Tipica
3,BAJA CALIFORNIA SUR,2,MULEGE,17,40805.0,5.033360150135659,0.9824513257214064,0.07835623678646934,0.024388869595059304,0.028702424612749387,0.9934230611564168,1.3551605384457677,0.5556249232497588,2.045067358089317,-0.06639362434155957,-0.056635902678679524,-0.9588649512556318,-0.010823255931129606,G1,Tipica
4,CAMPECHE,9,ESCARCEGA,15,40540.0,1995.1161555565195,0.9836395518980964,0.06295393167099295,0.018420989531087083,0.021808906779042285,0.9816308130030696,0.4957750871504951,1.1228345843822256,-0.5219279178189415,0.7121219538287182,0.7865225185008641,0.21490919222997049,0.006226653043038486,G3,Tipica
5,COAHUILA,11,GENERAL CEPEDA,15,9057.0,3.835068732957009,0.9811563477989198,0.1505144163597104,0.04116508829665344,0.045413285695659916,0.993208963819942,3.611720707661382,-0.5593792427624934,1.9063767872590889,-0.14664466990034006,-1.314150844410774,-0.36721311667730266,-0.6748126512668099,G2,Tipica
6,COLIMA,2,COMALA,6,16735.0,197.4919628117636,0.9879990384194118,0.09236292428198434,0.02758756222966049,0.03211175419959921,0.9938539150404928,1.3444668468306462,0.3740519704343032,-0.2232934820514509,-0.4012086489471812,-0.6029520643270078,-0.24901842864487084,-0.14625128773929005,G3,Tipica
7,CHIAPAS,67,PANTEPEC,4,7905.0,334.80447406072295,0.9643008420744986,0.09624185272500346,0.03711873827902826,0.04441466866660288,0.9213777559392248,3.0251282407487583,-2.160685785820577,0.28019697954741,2.0715997963802333,1.179104126880944,-0.30460114274052186,0.2008563480019472,G2,Tipica
8,CHIHUAHUA,66,URUACHI,10,4526.0,2.4906621740087656,0.9460173382604119,0.2395947426067908,0.07294092835183792,0.0849491988094082,0.9674713377739214,8.83562830475631,-4.5204935014410115,2.723452146210965,3.409692776821524,-0.04755256543221032,-0.8250961617233002,-0.8377285041903368,G2,Atípica en ICE principal
9,CIUDAD DE MEXICO,12,TLALPAN,1,542014.0,5775.165640809182,0.9882430233076559,0.05701687669907835,0.01878894024879596,0.02245121725900121,0.9925590087293306,0.26983480800702503,1.9892124175398083,-1.9036340901579685,0.7146340157887178,0.4399119615580468,-1.3422334996323575,0.14415953758459282,G3,Tipica
10,DURANGO,2,CANELAS,13,3052.0,3.307285241373589,0.9738726558470044,-0.039345294302801384,0.03591160663048472,0.042358513468408916,0.6632954509626512,-0.2994170608990113,-2.298735538095891,2.7033752692655657,1.6092805023438916,-0.5688336093006787,-0.5496793153437672,2.1820887023419,G0,Atípica en tercer ICE
11,GUANAJUATO,38,TARANDACUAO,5,10227.0,1665.7095261631237,0.98513241306707,0.09636617000750347,0.027084807723002882,0.030874123474250274,0.9904844860722436,1.4457835545080802,0.085162447831384,-1.0442657992244029,0.0576039110272478,-0.07941666659315362,0.3286495146589952,-0.22951740712364324,G3,Tipica
12,GUERRERO,66,TLALIXTAQUILLA DE MALDONADO,6,5323.0,1267.1359664250967,0.9783971740178392,0.07796678817334954,0.02349713051348117,0.0271761730270204,0.9249830405265632,1.0900304278400617,-0.7145567590859849,-0.5312132556904744,0.5907435496039285,0.7996344822792713,0.4405442778194088,-0.13562059480699434,G2,Tipica
13,HIDALGO,12,ATOTONILCO DE TULA,9,34626.0,863.7856618990961,0.9875392024459224,0.097736495054527,0.030188149555773792,0.036311046478671234,0.9942464535499466,1.6392343723764344,0.8199921805730571,-0.7474467051256343,0.2346411778727482,-0.6207058294210703,-0.08043604095534003,-0.13989416125783466,G3,Tipica
14,JALISCO,63,MEZQUITIC,6,13992.0,13.18435630318632,0.9731963731804464,0.19782571477486727,0.05985667187392672,0.07113305524112055,0.9900740450572226,5.959238416051573,-1.6984948670550275,0.9930766038509888,1.0905621832684598,-1.7893681563149628,-0.7966482810749341,-0.7134585903383382,G2,Atípica en ICE principal
15,MEXICO,46,JILOTEPEC,28,66142.0,151.16956365807502,0.9892403592131828,0.12285675482972873,0.03746242549048867,0.043778072894982506,0.9970012211694168,2.5708734737523984,1.7778762570682636,0.6847556278143145,0.6307000661684591,-1.5597188944949465,0.3436658795879823,-0.3605612725055503,G1,Atípica en ICE principal
16,MICHOACAN,57,NAHUATZEN,1,20601.0,2450.7129173840235,0.9854848803277132,0.12028930338789495,0.03723265286814032,0.044836939949728316,0.9941412620653056,2.4934561539141957,0.04107328252719025,-1.5642480718649945,0.39360525418275066,-0.859778220846261,-0.044405400343695466,-0.2380374288049759,G2,Tipica
17,MORELOS,9,HUITZILAC,5,15191.0,319.8223810878252,0.9828668121650124,0.09358577496220574,0.027847929862878127,0.03379698664906596,0.9925006722250967,1.6256859330636952,-0.08001816517632812,-0.2896559489478517,0.098566859040355,-0.018422230467593663,-0.2369394403164918,-0.12572054573191285,G3,Tipica
18,NAYARIT,4,BAHIA DE BANDERAS,7,110771.0,777.3591975718053,0.9854251230070634,0.09961682020330367,0.030068832900549576,0.03605403875854273,0.9969308843867782,1.8335720796726296,1.035517846988753,-0.778932304728391,0.6069627778492163,-0.3597352943399977,-0.7403353265896682,-0.1705685870859813,G3,Tipica
19,NUEVO LEON,10,CARMEN,1,28495.0,2675.6410516422757,0.9819182778419394,0.2018642709519592,0.05965584595907386,0.07124600965955895,0.9965696775831744,5.481768746229062,-0.5217253602982136,-1.822998490970805,1.235666414288486,-2.244379397537791,-0.07099337939827062,-0.8306229773751057,G2,Atípica en ICE principal
20,OAXACA,329,SAN PEDRO TIDAA,0,648.0,148.0562738691608,0.969378090762532,0.275049115913556,0.07715658403748589,0.08083083458482006,0.8034355385892199,7.896819918254128,-3.877488433960983,-0.2677740866723853,1.6425479432712593,-2.9374578295119766,0.7414645525811573,-1.8685396132970853,G2,Atípica en ICE principal
21,PUEBLA,53,CHIGMECATITLAN,0,1069.0,246.63406340768287,0.9746827130277488,-0.028181818181818183,0.03784090884054705,0.045080999514587335,0.664427488857666,-0.21954474091233864,-2.925439896338935,0.2620859419890868,1.6817684560934019,-0.4345360653669894,0.17919396783889238,2.0841767624269254,G0,Atípica en ICE principal
22,QUERETARO,10,EL MARQUES,8,126226.0,468.6188787087749,0.9854414684835879,0.11521742971745624,0.03470986199562034,0.04190404064052044,0.9968145064269314,2.4080572380497176,1.0044495439284438,-0.5922697038653214,0.6726404556520189,-0.7757948127422165,-0.8235358675432387,-0.2770499253510736,G3,Atípica en ICE principal
23,QUINTANA ROO,9,TULUM,4,33040.0,493.36967686484695,0.9851679075529214,0.04451188669701568,0.02009714916292129,0.023682130152402413,0.8409571259450628,-0.11430062097570813,0.30190822661368405,-0.4374871130846352,0.4215260127820378,0.14569163758826584,-0.6289396560365311,0.12141971910705447,G3,Tipica
24,SAN LUIS POTOSI,47,VILLA DE ARRIAGA,15,12671.0,42.776017463493154,0.9882381395958308,0.1131511903716068,0.03394231650082885,0.03945103837963272,0.9970963081074568,2.1376597610600125,0.43955572731782017,0.7569316869682658,-0.3689848516215997,-1.2848603996981078,0.060256232185362635,-0.2846188447524656,G2,Tipica
25,SINALOA,8,ELOTA,33,31068.0,21.322511461449807,0.9862260771654359,0.11960791379869545,0.034962547302531566,0.041134849986927936,0.9983356414653488,2.5369771772344034,1.3658952510969202,1.9086766343809485,0.4399093648841061,-1.2224774039382782,0.4536891684642483,-0.39364871086275466,G1,Atípica en ICE principal
26,SONORA,28,NACORI CHICO,2,1399.0,0.7064902114575751,0.9636287155958679,0.1695906432748538,0.050943650593565336,0.053307835073964666,0.9486578267881732,5.258097074220368,-3.655798081735536,2.6115153699576825,0.6582978898564643,-0.3866245767204837,-0.8712912944788797,-0.5709282336438489,G2,Atípica en ICE principal
27,TABASCO,16,TEAPA,13,40126.0,396.4875650037481,0.985046515481118,0.06863032304455513,0.02071626986106672,0.025032642376157002,0.9623923483729117,0.6480125412304436,0.9425191326436094,-0.011822313687483012,0.3381091576213475,0.2782267067043517,-0.20804361670461385,-0.05893412960214418,G3,Tipica
28,TAMAULIPAS,14,GUERRERO,0,2420.0,466.3831556918487,0.9890601535880172,-0.06669236700077101,0.04814546584629482,0.05490688979740972,0.7590982657564385,-0.7104240467899335,-1.6025894317190146,-0.5736394389320738,1.0395268650124077,-2.5392059155909026,0.18951229593780308,3.472675962567404,G0,Tipica
29,TLAXCALA,23,NATIVITAS,0,18407.0,1201.6473425787485,0.9860659026092032,0.0814288232183773,0.02529769145581208,0.0299356896302668,0.9945339273679592,1.0648778847190679,0.1761858235836553,-1.1601942513389143,-0.09512052370298132,-0.03326793618022904,-0.26694213710488623,-0.002644095688275071,G3,Tipica
30,VERACRUZ,107,MIAHUATLAN,1,3285.0,133.50254775031107,0.9821237484557364,0.136630923555863,0.042340502701014,0.048101445381271785,0.9296238919645234,3.0891633410093244,-1.3738256749643205,-0.19513234701243648,-0.007116996332468237,-1.2984207369003655,0.07182371485740917,-0.4595747174227338,G2,Tipica
31,YUCATAN,45,KOPOMA,1,1982.0,984.7599581802299,0.9766569236281052,0.19027611044417767,0.05750287656901482,0.06162246412047059,0.9573631268841044,5.222476666751672,-2.101629311251501,-1.0453183090176519,0.953712257998918,-1.6937997396603863,0.7426376854566556,-0.7353984778790902,G2,Atípica en ICE principal
32,ZACATECAS,11,TRINIDAD GARCIA DE LA CADENA,3,2778.0,15.815886684918935,0.9726992393772788,0.11338141025641026,0.035958235035494966,0.04174500779398512,0.9609648236509422,2.8986771366316573,-2.089888327894834,1.224055787263634,0.2819726859367285,0.11706538430788295,-0.3948833477514036,-0.15242293152908762,G2,Tipica
