EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),TCE_municipal,Atipicidad
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,3,34917.0,3566.0245471072844,0.9892716837413312,0.03749814292081415,0.0150845428418134,0.017733047222859545,0.7559389344840048,-1.1597093393219615,-0.08892566875798175,0.08530000400685704,G1,Tipica
2,BAJA CALIFORNIA,3,TECATE,3,85233.0,1700.5465487694435,0.9882333661288336,-0.012604117190486671,0.01767090638031471,0.02010637616975108,0.4577988073815484,-1.900560605610753,-1.0811238751377716,1.0906785732548614,G2,Tipica
3,BAJA CALIFORNIA SUR,2,MULEGE,17,40805.0,1116.9216141413942,0.9824513257214064,0.07835623678646934,0.024388869595059304,0.028702424612749387,0.9934230611564168,1.1912844403035827,0.42316862699788105,-0.3223985615110861,G0,Tipica
4,CAMPECHE,9,ESCARCEGA,15,40540.0,1995.1161555565207,0.9836395518980964,0.06295393167099295,0.018420989531087083,0.021808906779042285,0.9816308130030696,0.15777602160424506,0.5188964299387856,-0.3092860906213122,G1,Tipica
5,COAHUILA,11,GENERAL CEPEDA,15,9058.0,2395.4947567796607,0.9811563477989198,0.1505144163597104,0.04116508829665344,0.045413285695659916,0.993208963819942,4.239949174904679,0.2638737721689406,-0.18967729703250044,G3,Tipica
6,COLIMA,2,COMALA,6,16735.0,2823.6978650465544,0.9879990384194118,0.09236292428198434,0.02758756222966049,0.03211175419959921,0.9938539150404928,1.5487500005791248,0.33226758588895416,-0.5297389560487804,G0,Tipica
7,CHIAPAS,67,PANTEPEC,4,7905.0,8420.363363210554,0.9643008420744986,0.09624185272500346,0.03711873827902826,0.04441466866660288,0.9213777559392248,4.118489267826874,-1.1063929770447674,2.3224283158773,G3,Tipica
8,CHIHUAHUA,66,URUACHI,10,4527.0,71935.16739354767,0.9460173382604119,0.2395947426067908,0.07294092835183792,0.0849491988094082,0.9674713377739214,12.22328947062601,3.737240143238124,13.266936540273118,G3,Atipica en CP1
9,CIUDAD DE MEXICO,9,MILPA ALTA,0,107273.0,2559.563059015217,0.9891024226863724,0.060114635833580385,0.01899542209153661,0.022838008281828942,0.9876001605322712,-0.019825256324213128,0.5281363919387349,-0.29732191750447245,G1,Tipica
10,DURANGO,2,CANELAS,13,3052.0,7028.345106252768,0.9738726558470044,-0.039345294302801384,0.03591160663048472,0.042358513468408916,0.6632954509626512,1.278850724947486,-1.6112716965833922,2.8176714028207406,G0,Atipica en CP2
11,GUANAJUATO,38,TARANDACUAO,5,10228.0,1665.7095261631234,0.98513241306707,0.09636617000750347,0.027084807723002882,0.030874123474250274,0.9904844860722436,1.636454889310224,0.020676242729950643,-0.5766768096438538,G0,Tipica
12,GUERRERO,66,TLALIXTAQUILLA DE MALDONADO,6,5323.0,1267.135966425097,0.9783971740178392,0.07796678817334954,0.02349713051348117,0.0271761730270204,0.9249830405265632,1.2151807094510958,-0.5611979599922515,-0.03464328787797976,G0,Tipica
13,HIDALGO,12,ATOTONILCO DE TULA,9,34627.0,1937.663597592395,0.9875392024459224,0.097736495054527,0.030188149555773792,0.036311046478671234,0.9942464535499466,2.0208392562599142,0.3914748434905564,-0.5170988797150355,G0,Tipica
14,JALISCO,63,MEZQUITIC,6,13993.0,3166.858600823997,0.9731963731804464,0.19782571477486727,0.05985667187392672,0.07113305524112055,0.9900740450572226,7.961590487709365,-0.7488848813774539,0.7641426727464012,G3,Tipica
15,MEXICO,46,JILOTEPEC,28,66143.0,691.8595013481627,0.9892403592131828,0.12285675482972873,0.03746242549048867,0.043778072894982506,0.9970012211694168,3.0501304879929956,1.3265809759938902,-0.6930534415613395,G0,Atipica en CP2
16,MICHOACAN,57,NAHUATZEN,1,20601.0,2450.712917384024,0.9854848803277132,0.12028930338789495,0.03723265286814032,0.044836939949728316,0.9941412620653056,3.3949492625567537,-0.14187688662275286,-0.2921027150203012,G0,Atipica en CP1
17,MORELOS,9,HUITZILAC,5,15191.0,784.1633453534253,0.9828668121650124,0.09358577496220574,0.027847929862878127,0.03379698664906596,0.9925006722250967,1.9270165083281685,-0.2232946406059972,-0.480644900257147,G0,Tipica
18,NAYARIT,4,BAHIA DE BANDERAS,7,110771.0,3465.433324826833,0.9854251230070634,0.09961682020330367,0.030068832900549576,0.03605403875854273,0.9969308843867782,2.1342450934607267,0.6775978176246475,0.13781145141995607,G0,Tipica
19,NUEVO LEON,10,CARMEN,1,28495.0,2675.641051642275,0.9819182778419394,0.2018642709519592,0.05965584595907386,0.07124600965955895,0.9965696775831744,7.568605078127643,-0.3785818009310609,0.11241842501431784,G3,Tipica
20,OAXACA,329,SAN PEDRO TIDAA,0,649.0,148.05627386916083,0.969378090762532,0.275049115913556,0.07715658403748589,0.08083083458482006,0.8034355385892199,10.542495494866943,-1.8334852740875456,0.7784011494643747,G3,Atipica en CP1
21,PUEBLA,97,LA MAGDALENA TLATLAUQUITEPEC,0,437.0,549.9234515364303,0.9877560219325692,-0.09896907216494844,0.0631145259111409,0.07077312858210638,0.7667430183757953,3.277573199531969,-2.7248083461796195,1.767368095910916,G3,Tipica
22,QUERETARO,10,EL MARQUES,8,126227.0,2559.107741635501,0.9854414684835879,0.11521742971745624,0.03470986199562034,0.04190404064052044,0.9968145064269314,2.944501111030065,0.6819789933025623,0.09072320331945907,G0,Tipica
23,QUINTANA ROO,9,TULUM,4,33040.0,1341.9417170754714,0.9851679075529214,0.04451188669701568,0.02009714916292129,0.023682130152402413,0.8409571259450628,-0.10277632053389406,-0.4055106356952516,-0.06942155486524196,G1,Tipica
24,SAN LUIS POTOSI,47,VILLA DE ARRIAGA,15,12671.0,1153.96690648642,0.9882381395958308,0.1131511903716068,0.03394231650082885,0.03945103837963272,0.9970963081074568,2.580639058582846,0.5392451935409263,-0.7901994336909671,G0,Tipica
25,SINALOA,8,ELOTA,33,31068.0,3491.717816844861,0.9862260771654359,0.11960791379869545,0.034962547302531566,0.041134849986927936,0.9983356414653488,2.8799348604364616,1.496034310664088,-0.2469227431857963,G0,Atipica en CP2
26,SONORA,28,NACORI CHICO,2,1400.0,2105.613902509508,0.9636287155958679,0.1695906432748538,0.050943650593565336,0.053307835073964666,0.9486578267881732,6.464458648795017,-1.605796663980074,1.1479071289238665,G3,Tipica
27,TABASCO,16,TEAPA,13,40126.0,959.0188682054178,0.985046515481118,0.06863032304455513,0.02071626986106672,0.025032642376157002,0.9623923483729117,0.4575119568092542,0.3530912835832145,-0.4900612990332574,G0,Tipica
28,TAMAULIPAS,14,GUERRERO,0,2421.0,466.38315569184863,0.9890601535880172,-0.06669236700077101,0.04814546584629482,0.05490688979740972,0.7590982657564385,1.747801459195525,-2.101160499301156,1.0787221838611027,G0,Atipica en CP2
29,TLAXCALA,16,IXTENCO,0,5340.0,1089.4734784636855,0.985932194983516,0.08031559781509205,0.02683982088489936,0.032504433926474015,0.971023658906462,1.4545605764300835,-0.3702670232947877,-0.5750320476950573,G0,Tipica
30,VERACRUZ,107,MIAHUATLAN,1,3286.0,1538.5606030645145,0.9821237484557364,0.136630923555863,0.042340502701014,0.048101445381271785,0.9296238919645234,4.1985879726238915,-0.6447408735002991,-0.12592956144581116,G3,Tipica
31,YUCATAN,45,KOPOMA,1,1983.0,984.759958180229,0.9766569236281052,0.19027611044417767,0.05750287656901482,0.06162246412047059,0.9573631268841044,6.944986342857293,-0.992838972467694,0.12822708029470442,G3,Tipica
32,ZACATECAS,11,TRINIDAD GARCIA DE LA CADENA,3,2779.0,599.3871278049472,0.9726992393772788,0.11338141025641026,0.035958235035494966,0.04174500779398512,0.9609648236509422,3.650324402205139,-1.1328138797528866,0.2867269772279933,G3,Tipica
